event_time,channel,anon_id,event_name,event_props,ingestion_time
2026-02-13T23:33:42.553926,app,anon_00095,talk_to_consultant,{},2026-02-13T23:33:42.553926
2026-02-13T23:16:48.375358,app,anon_00072,product_view,"{""category"": ""janela"", ""value"": 4044.08}",2026-02-13T23:16:48.375358
2026-02-13T21:20:51.770894,web,anon_00065,scan_qr_service,{},2026-02-13T21:20:51.770894
2026-02-13T21:05:31.732754,whatsapp,anon_00004,whatsapp_quote_request,{},2026-02-13T21:05:31.732754
2026-02-13T20:15:53.591504,store,anon_00079,add_to_cart,"{""category"": ""fechadura"", ""value"": 2923.03}",2026-02-13T20:15:53.591504
2026-02-13T19:34:17.448528,whatsapp,anon_00043,product_view,"{""category"": ""azulejo"", ""value"": 4412.6}",2026-02-13T19:34:17.448528
2026-02-13T19:28:12.495725,whatsapp,anon_00033,add_to_cart,"{""category"": ""tinta"", ""value"": 535.15}",2026-02-13T19:28:12.495725
2026-02-13T19:13:20.616218,app,anon_00087,page_view,{},2026-02-13T19:13:20.616218
2026-02-13T19:04:44.830577,store,anon_00087,whatsapp_quote_request,{},2026-02-13T19:04:44.830577
2026-02-13T18:19:57.388013,store,anon_00043,talk_to_consultant,{},2026-02-13T18:19:57.388013
2026-02-13T17:48:56.026325,whatsapp,anon_00094,page_view,{},2026-02-13T17:48:56.026325
2026-02-13T17:41:08.534882,store,anon_00062,page_view,{},2026-02-13T17:41:08.534882
2026-02-13T17:36:26.247246,app,anon_00095,product_view,"{""category"": ""rodape"", ""value"": 79.36}",2026-02-13T17:36:26.247246
2026-02-13T16:57:59.810710,web,anon_00069,whatsapp_quote_request,{},2026-02-13T16:57:59.810710
2026-02-13T16:06:54.308289,web,anon_00072,search,"{""query"": ""tinta parede""}",2026-02-13T16:06:54.308289
2026-02-13T15:34:27.063895,web,anon_00001,whatsapp_quote_request,{},2026-02-13T15:34:27.063895
2026-02-13T15:10:17.084810,whatsapp,anon_00062,talk_to_consultant,{},2026-02-13T15:10:17.084810
2026-02-13T15:09:17.356385,store,anon_00017,page_view,{},2026-02-13T15:09:17.356385
2026-02-13T14:52:16.730609,web,anon_00087,whatsapp_quote_request,{},2026-02-13T14:52:16.730609
2026-02-13T14:23:06.209999,web,anon_00016,page_view,{},2026-02-13T14:23:06.209999
2026-02-13T14:20:40.958638,store,anon_00094,product_view,"{""category"": ""ferramentas"", ""value"": 364.75}",2026-02-13T14:20:40.958638
2026-02-13T14:20:39.335898,app,anon_00065,begin_checkout,{},2026-02-13T14:20:39.335898
2026-02-13T14:11:25.582222,app,anon_00054,add_to_cart,"{""category"": ""azulejo"", ""value"": 4321.63}",2026-02-13T14:11:25.582222
2026-02-13T13:22:17.559004,web,anon_00091,page_view,{},2026-02-13T13:22:17.559004
2026-02-13T12:58:16.160859,web,anon_00004,product_view,"{""category"": ""rodape"", ""value"": 2095.57}",2026-02-13T12:58:16.160859
2026-02-13T12:42:11.422216,whatsapp,anon_00074,page_view,{},2026-02-13T12:42:11.422216
2026-02-13T11:25:02.025032,web,anon_00047,submit_quote,"{""category"": ""tinta"", ""value"": 3528.59}",2026-02-13T11:25:02.025032
2026-02-13T11:18:26.873653,app,anon_00097,whatsapp_quote_request,{},2026-02-13T11:18:26.873653
2026-02-13T10:36:09.869095,whatsapp,anon_00011,whatsapp_quote_request,{},2026-02-13T10:36:09.869095
2026-02-13T10:05:45.946280,app,anon_00021,page_view,{},2026-02-13T10:05:45.946280
2026-02-13T08:15:13.446809,web,anon_00077,add_to_cart,"{""category"": ""massa"", ""value"": 3043.63}",2026-02-13T08:15:13.446809
2026-02-13T08:08:57.191637,store,anon_00031,product_view,"{""category"": ""porta"", ""value"": 4326.93}",2026-02-13T08:08:57.191637
2026-02-13T06:21:30.217699,app,anon_00012,page_view,{},2026-02-13T06:21:30.217699
2026-02-13T06:05:00.839155,store,anon_00033,whatsapp_quote_request,{},2026-02-13T06:05:00.839155
2026-02-13T05:31:07.108901,whatsapp,anon_00003,product_view,"{""category"": ""lixa"", ""value"": 662.3}",2026-02-13T05:31:07.108901
2026-02-13T05:17:32.939514,app,anon_00062,whatsapp_quote_request,{},2026-02-13T05:17:32.939514
2026-02-13T05:13:43.814631,web,anon_00082,page_view,{},2026-02-13T05:13:43.814631
